smiles,iron_reactive
C1=C2C(=NC(=O)NC2=O)NN1,1
c1cc(ccc1CCC2(OCCO2)Cn3ccnc3)Cl,1
CC#CCNc1ccc(cc1)S(=O)(=O)CC2(CCN(CC2)C(=O)OC(C)(C)C)C(=O)NO,1
CC(C)(C)c1ccc(cc1)Cc2ccncc2C(=O)NNC(=O)/C=C/C(=O)O,1
CC(C)[C@H](C(=O)O)NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)COc3ccc(cc3)C(=O)C(C)C,1
c1c2c(cc(c1F)Cl)nc([nH]2)n3cc(cn3)C(=O)O,1
c1ccc(cc1)C[C@H]([C@@H](C(=O)O)O)N,1
Cc1cc(ccc1n2c(ccc2c3ccc(cc3)n4ccnc4)CCC(=O)O)C(=O)N,1
CC(C)[C@@H](C(=O)O)NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)NC(=O)c3cc4ccccc4o3,1
C(CC[C@@H](C(=O)O)OP(=O)(O)O)CCOP(=O)(O)O,1
C[C@@](CCc1ccc(cc1)c2ccc(cc2)OCCCN3CCOCC3)(C(=O)NO)S(=O)(=O)C,1
Cc1ccccc1C(=O)CC(=O)C(=O)O,1
c1cc(cc(c1)Br)C(=O)CC(=O)C(=O)O,1
CCCCC1=Nc2ccc(cc2C(=O)N1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5)O,1
CC(=O)c1ccc(cc1)c2ccc(cc2)CC[C@@H](CC(=O)O)O,1
c1cc(cc(c1)O)C(=O)NO,1
C([C@H](C(=O)O)NC(=O)C(=O)O)S,1
CC(C)C[C@H]([C@@H](C(=O)NO)O)C(=O)N[C@H](C(=O)NC)C(C)(C)C,1
c1ccc2c(c1)C[C@H]([C@H]2NC(=O)[C@H](Cc3cccc(c3)O)[C@@H](C(=O)NO)NCC4CC4)O,1
c1ccc2c(c1)C[C@H]([C@H]2NC(=O)[C@H](Cc3cccc(c3)O)CC(=O)NO)O,1
COc1ccc(cc1)C[C@@H](C(=O)O)N,1
c1ccnc(c1)c2ccccn2,1
c1ccc(cc1)[C@@]2(C(=O)NC(=O)N2)[C@@]3(C(=O)NC(=O)N3)c4ccccc4,1
c1cc(cc(c1)Cl)C[C@H](C(=O)N2CCN(CC2)C(=O)c3cc(ccc3F)F)N,1
c1cc(ccc1NS(=O)(=O)N)S(=O)(=O)N,1
CC(=CCC/C(=C(/COP(=O)(O)OP(=O)(O)O)\F)/C)C,1
COc1ccc2c(c1)CCN=C2c3ccc(cc3)S(=O)(=O)N,1
Cc1ccc(cc1)c2nc(cs2)C(=O)O,1
C(CCC(=O)O)CC(=O)O,1
CO[C@H](C[C@H](CCCCNCc1ccc(cc1)F)C(=O)NO)c2ccc(cc2)F,1
CCCCCNCC(P(=O)(O)O)P(=O)(O)O,1
CCCCCCCNCC(P(=O)(O)O)P(=O)(O)O,1
CCCNCC(P(=O)(O)O)P(=O)(O)O,1
C1[C@@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O,1
CCCCCCNCC(P(=O)(O)O)P(=O)(O)O,1
c1ccc2c(c1)CC(=O)N(C2=O)O,1
c1ccc(cc1)CN2CCC(CC2)(Cc3ccc(cc3)Cl)C(=O)/C=C(/C(=O)O)\O,1
Cn1cc(nc1)C2=NC(=C(C(=O)N2)O)C(=O)O,1
c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)OP(=O)(O)OP(=O)(O)O)O)N=C(NC2=O)N,1
c1ccc(cc1)C[C@H](C[P@@](=O)([C@H](Cc2ccccc2)N)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)O,1
CN(CCCC(=O)c1cccnc1)N=O,1
CC1([C@@H](N[C@H](S1)[C@@H](C(=O)O)NC(=O)c2c(cccc2OC)OC)C(=O)O)C,1
CC1=C(C(=N[C@H]1[C@@H]([C@@H](C)O)C(=O)O)C(=O)O)S[C@H]2C[C@H](NC2)C(=O)N(C)C,1
c1cc(ccc1C#N)[C@H]2CCCc3n2cnc3,1
C(C[C@H](C(=O)OP(=O)(O)O)N)CN,1
C1=CC=C(C(=O)C=C1)O,1
c1ccc(cc1)C(c2ccccc2)(C(=O)O)O,1
C[C@H](C(=O)O)OP(=O)(O)O,1
c1ccc(cc1)COc2ccc(cc2)CC(=O)[C@H](Cc3c[nH]cn3)N,1
c1ccc2c(c1)CN/C(=N\S(=O)(=O)N)/N2,1
C1CNC(=NS(=O)(=O)N)NC1,1
C1CO/C(=N\S(=O)(=O)N)/N1,1
C1CCN(C1)/C(=N/S(=O)(=O)N)/N,1
CCOC(=O)[C@@H]1CS/C(=N\S(=O)(=O)N)/N1,1
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=CCC(=C5)C(=O)N)O)O)OP(=O)(O)O)O)N,1
Cc1c(c(no1)c2ccccc2)C(=O)N[C@@H]([C@@H]3N[C@H](C(S3)(C)C)C(=O)O)C(=O)O,1
c1c[nH]nc1c2cc(ccn2)C(=O)O,1
[H]/N=C(\N)/NCCC[C@@H](C(=O)O)NS(=O)(=O)N,1
C[N+]1(C[C@@H](C[C@H]1C(=O)[O-])O)C,1
C([C@H]([C@H]([C@H](C(=O)NO)O)O)O)O,1
CC(C)C[C@@H](C(=O)N[C@@H](C)C(=O)NO)NC(=O)OCc1ccccc1,1
CC(C)ON(CC(=O)NO)S(=O)(=O)c1ccc(cc1)c2ccccc2,1
C/C(=C\COP(=O)(O)OP(=O)(O)O)/CN,1
c1cncc2c1CC[C@H]2C(O)(P(=O)(O)O)P(=O)(O)O,1
c1ccc(c(c1)c2[nH]c3cc(ccc3n2)C(=[NH2+])N)O,1
C(CCCCCC(=O)O)CCCCCO,1
C[N+](CO)(CO)CO,1
c1ccc(c(c1)[N+](=O)[O-])O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O,1
c1cc(ccc1[N+](=O)[O-])O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O,1
C([C@@H]1[C@@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,1
C1=C[C@H]([C@@H](C(=C1)C(=O)CCC(=O)O)C(=O)O)O,1
c1ccc2c(c1)c(c[nH]2)C[C@@H](C(=O)Nc3ccncc3)NC(=O)c4ccc(cc4F)c5cccc(c5)F,1
CCCC(=O)/C(=C/OP(=O)(O)O)/O,1
C(C(=O)[O-])(NC(=O)N)NC(=O)N,1
Cc1c(c(nc(n1)c2ccc(cn2)Cl)NC[C@@H](c3ccccc3)NCCCCc4ccccc4)Cl,1
C[C@H]([C@@H](C(=O)NS(=O)(=O)c1cccc(c1)c2ccc3c(c2)c[nH]n3)N)O,1
C[C@H]([C@@H](C(=O)NS(=O)(=O)c1cccc(c1)c2ccc3c(c2)nc(nc3N)Cl)N)O,1
c1ccc(cc1)Cn2ccnc2,1
c1ccnc(c1)NCC(P(=O)(O)O)P(=O)(O)O,1
c1c(cc(c(c1F)N)Cl)S(=O)(=O)Nc2nnc(s2)S(=O)(=O)N,1
c1cc(c(c(c1)N)O)C(=O)O,1
COc1cc(cc(c1O)[N+](=O)[O-])C(=O)O,1
c1ccc2c(c1)CN(C2)C(=O)[C@@H](Cc3ccc(cc3Cl)Cl)N,1
[B-](CCCC[C@@](CCCO)(C(=O)O)N)(O)(O)O,1
[B-](CCCC[C@@](CCN1CCC(CC1)O)(C(=O)O)N)(O)(O)O,1
c1cc(ccc1NC(=O)CC23CC4CC(C2)CC(C4)C3)S(=O)(=O)N,1
c1ccc(cc1)CC(=O)NCc2ccc(cc2)S(=O)(=O)N,1
c1cc(sc1)CC(=O)Nc2nnc(s2)S(=O)(=O)N,1
C([C@@H](COP(=O)(O)O)O)O,1
c1cc(sc1C=O)C2=CN(C(=O)NC2=O)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@@](=O)(O)O[C@@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O,1
c1ccc2c(c1)ccc(c2O)C(=O)O,1
C[C@H](CP(=O)([C@H](Cc1ccccc1)NC(=O)[C@@H](Cc2[nH]nnn2)N)O)C(=O)N[C@@H](C)C(=O)N,1
c1cc(c(cc1Cl)NS(=O)(=O)c2cc(c(cc2Cl)Cl)Cl)C(=O)O,1
CC[C@@H](O)P(=O)(O)O,1
c1ccc(cc1)C#Cc2ccc(cc2)C(=O)N[C@@H](CCC(=O)NCCCO)C(=O)NO,1
CCCCCCCCCC(=O)N[C@@H](CCO)C(=O)O,1
C[C@@H]([C@H](P(=O)(O)O)SC[C@@H](C(=O)O)N)O,1
c1ccc(cc1)[C@@H](C(=O)O)NC(=O)Cc2csc(n2)c3c(cc(cn3)C#N)O,1
c12c(c(c(c(c1sc(n2)S(=O)(=O)N)F)F)F)F,1
CC(C)c1nc(cs1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)NCCCCNC(=O)OCc2cncs2,1
c1(nnc(s1)S(=O)(=O)N)N,1
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)S(=O)(=O)N)O)O)O)O,1
Cc1c(sc(c1Cc2cnc(nc2N)C)[C@@H](CO)O)CCOP(=O)(O)OP(=O)(O)O,1
CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](Cc1ccccc1)N[P@](=O)(CNC(=O)OCc2ccccc2)O,1
CN(C(=O)CS[C@@H](c1ccccc1)P(=O)(O)O)O,1
Cc1ncc(n1CCOS(=O)(=O)N)[N+](=O)[O-],1
c1cc(c(nc1)C(=O)O)S,1
c1cc(ccc1C#CC#Cc2ccc(cc2)N)C(=O)N[C@@H](Cc3cnc[nH]3)C(=O)NO,1
c1cc(ccc1C#CC#Cc2ccc(cc2)N)C(=O)N[C@@H]([C@H](c3ccc(cc3)O)O)C(=O)NO,1
C[C@](c1ccc(cc1)O)([C@@H](C(=O)NO)NC(=O)c2ccc(cc2)C#CC#Cc3ccc(cc3)N)O,1
CC[C@@H](C)N1C(=O)N(C=N1)c2ccc(cc2)N3CCN(CC3)c4ccc(cc4)OC[C@H]5CO[C@](O5)(Cn6cncn6)c7ccc(cc7Cl)Cl,1
CC(=O)Nc1ccc(cc1)C(=O)Nc2cc(ccc2N)c3cccs3,1
C(CN)C(O)(P(=O)(O)O)P(=O)(O)O,1
C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,1
Cc1cc(nc(n1)n2ccnc2)N3CCC[C@@H]3C(=O)NCCc4ccc5c(c4)OCO5,1
c1cc(c(c(c1)O)O)C=O,1
C[C@H]([C@@](C)(C(=O)O)O)O,1
c1ccc(c(c1)C(=O)C(=O)O)S,1
c1ccc(cc1)C[C@H](C[N+](=O)[O-])C(=O)O,1
c1cc(c(cc1F)F)CO,1
CCOc1ccc(cc1)c2ccc(s2)S(=O)(=O)N[C@H](C3CCN(CC3)C(=O)OC(C)C)C(=O)O,1
c1cc(ccc1C[P@@](=O)(C[C@@H](CCC(=O)O)C(=O)O)O)I,1
